District_code,State_name,District_name,Population,Literate,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education
1,JAMMU AND KASHMIR,Kupwara,870354,439654,60616,101642,99947,74948,39709,21751,6402,405015,289765,694780
2,JAMMU AND KASHMIR,Badgam,753745,335649,68336,80862,83141,66459,41367,27950,6857,374972,342646,717618
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,93770,10452,15181,17900,16265,8923,6197,575,75493,32637,108130
4,JAMMU AND KASHMIR,Kargil,140802,86236,12732,19083,20874,16938,9826,3077,408,82938,39854,122792
5,JAMMU AND KASHMIR,Punch,476835,261724,55762,72024,69219,46062,29517,13962,1884,288430,164044,452474
6,JAMMU AND KASHMIR,Rajouri,642415,364109,70996,91859,108785,65921,35804,18576,3036,394977,242306,637283
7,JAMMU AND KASHMIR,Kathua,616435,389204,69396,82715,106411,91522,47694,24330,4504,426572,181297,607869
8,JAMMU AND KASHMIR,Baramula,1008039,545149,76778,117000,137510,107837,57932,48285,9708,555050,350119,905169
9,JAMMU AND KASHMIR,Bandipore,392232,185979,34064,47240,48849,35630,18644,12721,2268,199416,163648,363064
10,JAMMU AND KASHMIR,Srinagar,1236829,748584,88911,173309,178723,176409,132727,121856,32114,904049,310225,1214274
11,JAMMU AND KASHMIR,Ganderbal,297446,143276,25817,38735,38375,28247,15005,9633,2212,158024,116734,274758
12,JAMMU AND KASHMIR,Pulwama,560440,293958,36201,54808,73991,67368,40931,31286,5897,310482,190369,500851
13,JAMMU AND KASHMIR,Shupiyan,266215,136500,26468,29593,36939,28617,16501,10782,2010,150910,107053,257963
14,JAMMU AND KASHMIR,Anantnag,1078692,545532,73719,99059,129174,97121,52407,41570,9160,502210,337265,839475
15,JAMMU AND KASHMIR,Kulgam,424483,209085,36066,47268,60470,45383,24214,18240,3190,234831,175199,410030
16,JAMMU AND KASHMIR,Doda,409936,219083,43794,47350,62719,48359,31416,12647,1846,248131,163565,411696
17,JAMMU AND KASHMIR,Ramban,283713,124065,33971,35284,35115,22591,13331,4923,1498,146713,141812,288525
