State_name,District_name,Literate,Female_Literate,Male_Literate,Population,Graduate_Education,Illiterate_Education
JAMMU AND KASHMIR,Kupwara,439654,156831,282823,870354,21751,289765
JAMMU AND KASHMIR,Badgam,335649,127908,207741,753745,27950,342646
JAMMU AND KASHMIR,Leh(Ladakh),93770,30936,62834,133487,6197,32637
JAMMU AND KASHMIR,Kargil,86236,29935,56301,140802,3077,39854
JAMMU AND KASHMIR,Punch,261724,98391,163333,476835,13962,164044
JAMMU AND KASHMIR,Rajouri,364109,139640,224469,642415,18576,242306
JAMMU AND KASHMIR,Kathua,389204,160705,228499,616435,24330,181297
JAMMU AND KASHMIR,Baramula,545149,207979,337170,1008039,48285,350119
JAMMU AND KASHMIR,Bandipore,185979,68921,117058,392232,12721,163648
JAMMU AND KASHMIR,Srinagar,748584,316838,431746,1236829,121856,310225
JAMMU AND KASHMIR,Ganderbal,143276,52695,90581,297446,9633,116734
JAMMU AND KASHMIR,Pulwama,293958,115632,178326,560440,31286,190369
JAMMU AND KASHMIR,Shupiyan,136500,56145,80355,266215,10782,107053
JAMMU AND KASHMIR,Anantnag,545532,221115,324417,1078692,41570,337265
JAMMU AND KASHMIR,Kulgam,209085,84033,125052,424483,18240,175199
JAMMU AND KASHMIR,Doda,219083,80463,138620,409936,12647,163565
JAMMU AND KASHMIR,Ramban,124065,41127,82938,283713,4923,141812
JAMMU AND KASHMIR,Kishtwar,107506,38806,68700,230696,5438,101166
JAMMU AND KASHMIR,Udhampur,322354,124811,197543,554985,17345,194838
JAMMU AND KASHMIR,Reasi,150542,56605,93937,314667,4733,143293
JAMMU AND KASHMIR,Jammu,1137135,495219,641916,1529958,146501,268279
JAMMU AND KASHMIR,Samba,228139,97827,130312,318898,14055,65643
HIMACHAL PRADESH,Chamba,323842,137778,186064,519080,15506,154575
HIMACHAL PRADESH,Kangra,1152640,546197,606443,1510075,91236,271892
HIMACHAL PRADESH,Lahul AND Spiti,21845,8948,12897,31564,2378,6515
HIMACHAL PRADESH,Kullu,307672,133122,174550,437903,23168,103136
HIMACHAL PRADESH,Mandi,723747,330078,393669,999777,54139,218570
HIMACHAL PRADESH,Hamirpur,358091,177536,180555,454768,35620,72551
HIMACHAL PRADESH,Una,399715,186434,213281,521173,32120,87735
HIMACHAL PRADESH,Bilaspur,287620,132021,155599,381956,25474,65864
HIMACHAL PRADESH,Solan,428578,184206,244372,580320,36803,104084
HIMACHAL PRADESH,Sirmaur,362645,157028,205617,529855,23352,140486
HIMACHAL PRADESH,Shimla,612642,269796,342846,814010,80414,137576
HIMACHAL PRADESH,Kinnaur,60699,24002,36697,84121,5118,16944
PUNJAB,Gurdaspur,1634719,727059,907660,2298323,104345,478020
PUNJAB,Kapurthala,576567,260313,316254,815168,48221,174995
PUNJAB,Jalandhar,1622537,739956,882581,2193590,162965,387809
PUNJAB,Hoshiarpur,1199699,561772,637927,1586625,93618,294723
PUNJAB,Shahid Bhagat Singh Nagar,438459,199304,239155,612310,26893,133275
PUNJAB,Fatehgarh Sahib,426033,187337,238696,600163,34990,142314
PUNJAB,Ludhiana,2560225,1131877,1428348,3498739,272280,631980
PUNJAB,Moga,627889,279340,348549,995746,37417,306336
