District_name,State_name,Hindus,Muslims,Sikhs,Buddhists,Jains,Christians,Others_Religions,Population
Kupwara,JAMMU AND KASHMIR,37128,823286,5600,66,39,1700,13,870354
Badgam,JAMMU AND KASHMIR,10110,736054,5559,47,6,1489,2,753745
Leh(Ladakh),JAMMU AND KASHMIR,22882,19057,1092,88635,103,658,54,133487
Kargil,JAMMU AND KASHMIR,10341,108239,1171,20126,28,604,4,140802
Punch,JAMMU AND KASHMIR,32604,431279,11188,83,10,958,2,476835
Rajouri,JAMMU AND KASHMIR,221880,402879,15513,189,26,983,3,642415
Kathua,JAMMU AND KASHMIR,540063,64234,9551,24,16,1828,2,616435
Baramula,JAMMU AND KASHMIR,30621,959185,14770,140,29,1497,7,1008039
Bandipore,JAMMU AND KASHMIR,8439,382006,555,44,17,572,2,392232
Srinagar,JAMMU AND KASHMIR,42540,1177342,12187,285,74,2746,2,1236829
Ganderbal,JAMMU AND KASHMIR,5592,290581,486,25,8,406,4,297446
Pulwama,JAMMU AND KASHMIR,13840,535159,9440,35,6,1109,18,560440
Shupiyan,JAMMU AND KASHMIR,3116,262263,178,6,1,429,6,266215
Anantnag,JAMMU AND KASHMIR,13180,1057005,6140,55,7,1449,7,1078692
Kulgam,JAMMU AND KASHMIR,4267,418076,1035,27,25,460,9,424483
Doda,JAMMU AND KASHMIR,187621,220614,422,21,22,472,42,409936
Ramban,JAMMU AND KASHMIR,81026,200516,753,43,3,414,252,283713
Kishtwar,JAMMU AND KASHMIR,93931,133225,450,2094,3,277,514,230696
Udhampur,JAMMU AND KASHMIR,489044,59771,3418,106,57,1962,235,554985
Reasi,JAMMU AND KASHMIR,153898,156275,3107,15,7,1208,3,314667
Jammu,JAMMU AND KASHMIR,1289240,107489,114272,470,1987,12104,321,1529958
Samba,JAMMU AND KASHMIR,275311,22950,17961,48,16,2306,6,318898
Chamba,HIMACHAL PRADESH,479782,32455,2745,1740,57,1559,14,519080
Kangra,HIMACHAL PRADESH,1461140,19797,8929,14511,194,3023,208,1510075
Lahul AND Spiti,HIMACHAL PRADESH,11649,74,35,19572,3,212,1,31564
Kullu,HIMACHAL PRADESH,415669,2974,1396,15377,94,1568,83,437903
Mandi,HIMACHAL PRADESH,981412,9460,4081,2628,43,876,86,999777
Hamirpur,HIMACHAL PRADESH,449412,3711,591,95,293,243,9,454768
Una,HIMACHAL PRADESH,480138,14275,26009,56,70,390,10,521173
Bilaspur,HIMACHAL PRADESH,371973,6984,2387,113,10,236,7,381956
Solan,HIMACHAL PRADESH,548579,14678,13926,574,591,1452,110,580320
Sirmaur,HIMACHAL PRADESH,476830,33215,15501,2645,236,577,86,529855
Shimla,HIMACHAL PRADESH,791449,11810,4047,3262,185,2025,197,814010
Kinnaur,HIMACHAL PRADESH,64732,448,249,18086,29,485,45,84121
Gurdaspur,PUNJAB,1074332,27667,1002874,405,580,176587,812,2298323
Kapurthala,PUNJAB,336124,10190,453692,6662,553,5445,334,815168
Jalandhar,PUNJAB,1394329,30233,718363,11385,4011,26016,805,2193590
Hoshiarpur,PUNJAB,1000743,23089,538208,3476,2034,14968,531,1586625
Shahid Bhagat Singh Nagar,PUNJAB,401368,6829,192885,5885,695,1479,266,612310
Fatehgarh Sahib,PUNJAB,152851,16808,427521,48,178,1698,251,600163
Ludhiana,PUNJAB,1502403,77713,1863408,2007,19620,16517,1254,3498739
Moga,PUNJAB,158414,9388,818921,178,436,3277,365,995746
Firozpur,PUNJAB,906408,6844,1090815,454,1143,19358,278,2029074
Muktsar,PUNJAB,254920,4333,638625,240,744,1681,433,901896
Faridkot,PUNJAB,141363,3125,469789,155,1109,1227,103,617508
Bathinda,PUNJAB,380569,16299,984286,246,1266,2474,559,1388525
Mansa,PUNJAB,156539,10375,598443,123,1577,917,493,769751
Patiala,PUNJAB,783306,40043,1059944,245,1914,5683,1410,1895686
Amritsar,PUNJAB,690939,12502,1716935,876,3152,54344,1044,2490656
Tarn Taran,PUNJAB,60504,3855,1044903,101,650,6095,47,1119627
Rupnagar,PUNJAB,304481,14492,361045,118,653,2094,143,684627
Sahibzada Ajit Singh Nagar,PUNJAB,476276,29488,478908,257,1257,5342,239,994628
Sangrur,PUNJAB,389410,179116,1077438,268,3222,2406,1038,1655169
Barnala,PUNJAB,112859,13100,467751,108,246,622,481,595527
Chandigarh,CHANDIGARH,852574,51447,138329,1160,1960,8720,246,1055450
Uttarkashi,UTTARAKHAND,324859,3554,167,563,74,353,105,330086
Chamoli,UTTARAKHAND,385818,4395,323,190,11,428,23,391605
Rudraprayag,UTTARAKHAND,240170,1486,38,9,4,171,44,242285
Tehri Garhwal,UTTARAKHAND,609835,7374,290,32,91,656,109,618931
Dehradun,UTTARAKHAND,1424916,202057,36454,11778,5117,13416,217,1696694
Garhwal,UTTARAKHAND,660507,22931,619,58,212,2161,51,687271
Pithoragarh,UTTARAKHAND,475105,6015,260,185,13,1401,30,483439
Bageshwar,UTTARAKHAND,257509,1440,46,102,7,397,16,259898
Almora,UTTARAKHAND,611250,7752,256,201,31,1895,6,622506
Champawat,UTTARAKHAND,249563,8693,336,24,28,870,6,259648
Nainital,UTTARAKHAND,809717,120742,17419,570,356,5091,181,954605
Udham Singh Nagar,UTTARAKHAND,1104452,372267,162768,505,738,6064,159,1648902
Hardwar,UTTARAKHAND,1214935,648119,17364,709,2501,4878,46,1890422
Panchkula,HARYANA,490702,23451,40951,1008,1626,2583,90,561293
Ambala,HARYANA,955096,22143,138202,381,4845,3705,110,1128350
Yamunanagar,HARYANA,984929,138569,84455,161,1555,3646,126,1214205
Kurukshetra,HARYANA,805175,15970,140395,214,375,1943,106,964655
Kaithal,HARYANA,974520,8232,87558,265,351,1769,70,1074304
Karnal,HARYANA,1341002,31650,126207,532,1516,2049,49,1505324
Panipat,HARYANA,1083936,86622,25064,289,4647,2261,99,1205437
Sonipat,HARYANA,1390149,45100,4484,336,6033,1405,29,1450001
Jind,HARYANA,1276669,23016,29103,172,2594,889,56,1334152
Fatehabad,HARYANA,779243,8360,150969,171,1172,996,530,942011
Sirsa,HARYANA,940255,9524,338962,370,2256,2186,624,1295189
Hisar,HARYANA,1701061,21650,12270,334,3620,1945,33,1743931
Bhiwani,HARYANA,1611031,15515,2401,254,1016,873,26,1634445
Rohtak,HARYANA,1043887,8185,3916,200,3491,732,24,1061204
Jhajjar,HARYANA,945693,8247,1042,105,645,734,22,958405
Mahendragarh,HARYANA,913251,5660,1737,75,644,301,15,922088
Rewari,HARYANA,889133,5713,1804,202,1525,701,12,900332
Gurgaon,HARYANA,1408801,70842,15097,944,7451,9725,254,1514432
Mewat,HARYANA,221846,862647,592,516,1453,1235,4,1089263
Faridabad,HARYANA,1588407,161680,34572,640,4883,9743,249,1809733
Palwal,HARYANA,826342,208566,3971,345,915,932,20,1042708
North West,NCT OF DELHI,3211042,291330,92129,2281,43460,14100,345,3656539
North,NCT OF DELHI,726443,119792,19066,1824,13049,7256,81,887978
North East,NCT OF DELHI,1529337,657585,17424,2388,24673,9123,48,2241624
East,NCT OF DELHI,1410852,178807,53027,2643,46927,15792,366,1709346
New Delhi,NCT OF DELHI,124482,8480,2933,312,679,4852,66,142004
Central,NCT OF DELHI,364148,194278,13038,362,5886,3527,107,582320
West,NCT OF DELHI,2087294,149807,271752,1993,11322,18337,273,2543243
South West,NCT OF DELHI,2102743,112691,31692,2784,9215,31226,266,2292958
South,NCT OF DELHI,2155759,445914,69520,3862,11020,41880,645,2731929
Ganganagar,RAJASTHAN,1437144,50688,474853,938,1988,2077,164,1969168
Hanumangarh,RAJASTHAN,1433067,118673,216997,241,1935,1542,138,1774692
Bikaner,RAJASTHAN,2073356,235741,20072,285,30850,1901,79,2363937
Churu,RAJASTHAN,1777879,249736,402,188,7104,958,127,2039547
Jhunjhunun,RAJASTHAN,1905682,228178,275,56,548,1004,85,2137045
Alwar,RAJASTHAN,3039279,547335,64532,4384,13221,2696,348,3674179
Bharatpur,RAJASTHAN,2143046,371286,23456,899,5758,1576,18,2548462
Dhaulpur,RAJASTHAN,1127520,72258,1356,92,2739,688,21,1206516
Karauli,RAJASTHAN,1370977,81553,297,70,3424,602,413,1458248
Sawai Madhopur,RAJASTHAN,1165505,155681,812,177,9991,945,42,1335551
Dausa,RAJASTHAN,1582335,45488,296,94,3737,439,115,1634409
Jaipur,RAJASTHAN,5819980,687452,18782,1020,81079,12708,257,6626178
Sikar,RAJASTHAN,2342076,327583,356,177,4050,1122,15,2677333
Nagaur,RAJASTHAN,2833443,454487,366,163,12940,1912,276,3307743
Jodhpur,RAJASTHAN,3224399,411558,4123,514,36697,6035,80,3687165
Jaisalmer,RAJASTHAN,497045,168129,1723,98,1521,874,34,669919
