District_code,State_name,District_name,Population,SC,ST
1,JAMMU AND KASHMIR,Kupwara,870354,1048,70352
2,JAMMU AND KASHMIR,Badgam,753745,368,23912
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,488,95857
4,JAMMU AND KASHMIR,Kargil,140802,18,122336
5,JAMMU AND KASHMIR,Punch,476835,556,176101
6,JAMMU AND KASHMIR,Rajouri,642415,48157,232815
7,JAMMU AND KASHMIR,Kathua,616435,141224,53307
8,JAMMU AND KASHMIR,Baramula,1008039,1476,37705
9,JAMMU AND KASHMIR,Bandipore,392232,392,75374
10,JAMMU AND KASHMIR,Srinagar,1236829,1068,8935
11,JAMMU AND KASHMIR,Ganderbal,297446,117,61070
12,JAMMU AND KASHMIR,Pulwama,560440,402,22607
13,JAMMU AND KASHMIR,Shupiyan,266215,43,21820
14,JAMMU AND KASHMIR,Anantnag,1078692,1826,116006
15,JAMMU AND KASHMIR,Kulgam,424483,21,26525
16,JAMMU AND KASHMIR,Doda,409936,53408,39216
17,JAMMU AND KASHMIR,Ramban,283713,13920,39772
18,JAMMU AND KASHMIR,Kishtwar,230696,14307,38149
19,JAMMU AND KASHMIR,Udhampur,554985,138569,56309
20,JAMMU AND KASHMIR,Reasi,314667,37757,88365
21,JAMMU AND KASHMIR,Jammu,1529958,377991,69193
22,JAMMU AND KASHMIR,Samba,318898,91835,17573
23,HIMACHAL PRADESH,Chamba,519080,111690,135500
24,HIMACHAL PRADESH,Kangra,1510075,319385,84564
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,2235,25707
26,HIMACHAL PRADESH,Kullu,437903,122659,16822
27,HIMACHAL PRADESH,Mandi,999777,293739,12787
28,HIMACHAL PRADESH,Hamirpur,454768,109256,3044
29,HIMACHAL PRADESH,Una,521173,115491,8601
30,HIMACHAL PRADESH,Bilaspur,381956,98989,10693
31,HIMACHAL PRADESH,Solan,580320,164536,25645
32,HIMACHAL PRADESH,Sirmaur,529855,160745,11262
33,HIMACHAL PRADESH,Shimla,814010,215777,8755
34,HIMACHAL PRADESH,Kinnaur,84121,14750,48746
35,PUNJAB,Gurdaspur,2298323,580576,0
36,PUNJAB,Kapurthala,815168,276707,0
37,PUNJAB,Jalandhar,2193590,854444,0
38,PUNJAB,Hoshiarpur,1586625,557504,0
39,PUNJAB,Shahid Bhagat Singh Nagar,612310,260284,0
40,PUNJAB,Fatehgarh Sahib,600163,192493,0
41,PUNJAB,Ludhiana,3498739,923358,0
42,PUNJAB,Moga,995746,363417,0
43,PUNJAB,Firozpur,2029074,855726,0
44,PUNJAB,Muktsar,901896,381554,0
45,PUNJAB,Faridkot,617508,240328,0
46,PUNJAB,Bathinda,1388525,450473,0
47,PUNJAB,Mansa,769751,258878,0
48,PUNJAB,Patiala,1895686,465359,0
49,PUNJAB,Amritsar,2490656,770864,0
50,PUNJAB,Tarn Taran,1119627,377468,0
51,PUNJAB,Rupnagar,684627,180905,0
53,PUNJAB,Sangrur,1655169,461609,0
54,PUNJAB,Barnala,595527,192001,0
55,CHANDIGARH,Chandigarh,1055450,199086,0
56,UTTARAKHAND,Uttarkashi,330086,80567,3512
57,UTTARAKHAND,Chamoli,391605,79317,12260
58,UTTARAKHAND,Rudraprayag,242285,47679,386
59,UTTARAKHAND,Tehri Garhwal,618931,102130,875
60,UTTARAKHAND,Dehradun,1696694,228901,111663
61,UTTARAKHAND,Garhwal,687271,122361,2215
62,UTTARAKHAND,Pithoragarh,483439,120378,19535
63,UTTARAKHAND,Bageshwar,259898,72061,1982
64,UTTARAKHAND,Almora,622506,150995,1281
65,UTTARAKHAND,Champawat,259648,47383,1339
66,UTTARAKHAND,Nainital,954605,191206,7495
67,UTTARAKHAND,Udham Singh Nagar,1648902,238264,123037
68,UTTARAKHAND,Hardwar,1890422,411274,6323
69,HARYANA,Panchkula,561293,101830,0
70,HARYANA,Ambala,1128350,296246,0
71,HARYANA,Yamunanagar,1214205,306743,0
72,HARYANA,Kurukshetra,964655,215128,0
73,HARYANA,Kaithal,1074304,247513,0
74,HARYANA,Karnal,1505324,339604,0
75,HARYANA,Panipat,1205437,206213,0
76,HARYANA,Sonipat,1450001,269935,0
77,HARYANA,Jind,1334152,282351,0
78,HARYANA,Fatehabad,942011,284357,0
79,HARYANA,Sirsa,1295189,387381,0
80,HARYANA,Hisar,1743931,408785,0
81,HARYANA,Bhiwani,1634445,341162,0
82,HARYANA,Rohtak,1061204,216889,0
83,HARYANA,Jhajjar,958405,170448,0
84,HARYANA,Mahendragarh,922088,156314,0
85,HARYANA,Rewari,900332,182606,0
86,HARYANA,Gurgaon,1514432,197937,0
87,HARYANA,Mewat,1089263,75251,0
88,HARYANA,Faridabad,1809733,223799,0
89,HARYANA,Palwal,1042708,203123,0
90,NCT OF DELHI,North West,3656539,697237,0
91,NCT OF DELHI,North,887978,165663,0
92,NCT OF DELHI,North East,2241624,373758,0
93,NCT OF DELHI,East,1709346,281422,0
94,NCT OF DELHI,New Delhi,142004,33245,0
95,NCT OF DELHI,Central,582320,143178,0
96,NCT OF DELHI,West,2543243,376472,0
97,NCT OF DELHI,South West,2292958,318408,0
98,NCT OF DELHI,South,2731929,422926,0
99,RAJASTHAN,Ganganagar,1969168,720412,13477
100,RAJASTHAN,Hanumangarh,1774692,494189,14289
